Paper Title,Publication Year,Authors,Problem Statement,Methodology,Future Work Suggestions,Critical Summary (Relevance & Gaps)
The integration of CAD/CAM and Rapid Prototyping in Product Development: A review,2015,"A.K. Matta, D. Ranga Raju, K.N.S. Suman","Due to international competition, industries need to reduce time to market and cost while assuring high quality, requiring better CAD/CAM and RP integration.","Literature review of recent research on CAD/CAM RP&M systems, detailing key issues like STEP/XML integration, modelling and algorithms.","Outlook on future development of CAD/CAM RP&M systems, integrating cloud technologies and remote manufacturing.",Contextual Overview. Provides older perspective on CAD/CAM integration with Rapid Prototyping. Gap: Lacks modern AI/ML approaches and focuses more on additive manufacturing than CNC automation.
Machine Learning approach for Predictive Maintenance in Industry 4.0,2018,"Marina Paolanti, Luca Romeo, Andrea Felicetti, Adriano Mancini, Emanuele Frontoni, Jelena Loncarski",Unscheduled downtime and lack of reliable fault forecasting in electric motors/cutting machines lead to severe economic losses.,"Data-driven approach collecting data from sensors and PLCs via MQTT/MES, and training a Random Forest model on Azure Machine Learning Studio to predict machine states.",Implement deeper diagnostic tracking and predictive maintenance across more varied datasets.,Relevant baseline. Showcases cloud-based RF implementation on cutting machines. Gap: Uses a standard ML algorithm without addressing complex sequence modeling or deep learning integration.
Thirty years of the International Journal of Computer Integrated Manufacturing: a bibliometric analysis,2018,"Sigifredo Laengle, Nikunja Mohan Modak, José M. Merigó, Catalina De La Sotta","Analyzing the growth, impact, and thematic trends of computer integrated manufacturing (CIM) technologies over three decades to identify future research directions.",Bibliometric analysis of publications in IJCIM from 1988 to 2017 using Web of Science Core Collection and VOS viewer software for visual mapping of keywords and co-authorship.,"Guide editorial policies and point researchers toward trending topics like interoperability, cloud manufacturing, and machine learning in CIM.",High-level theoretical review. Validates the importance of CAD/CAM integration and predictive maintenance. Gap: Bibliometric analysis without proposing a specific technical architecture.
An Automated Method Mapping Parametric Features Between Computer Aided Design Software,2019,Toby David Borland,Translating CAD models while retaining parametric design features is limited by structural and semantic heterogeneity between vendor CAD programs.,Combined semantic text matching and 3D surface intersection geometric queries. Developed a Genetic Algorithm to map equivalent function parameters across heterogeneous CAD API libraries.,Refactoring algorithms into faster languages and optimizing sampling techniques to reduce direct calls made to the CAD API via the COM interface.,"Foundational. Validates the complexity of CAD API bridging and AFR. Gap: Highlights the difficulty of inter-CAD communication, which our web-based standardized architecture could bypass entirely."
STEP-NC-based machining architecture applied to industrial robots,2019,"Juan S. Toquica, Sasa Zivanovic, Renan Bonnard, Efrain Rodriguez, Alberto J. Alvares, João C. E. Ferreira",Industrial robots are usually equipped with specific controller languages that hinder shop floor adoption and limit interoperability within the manufacturing digital chain.,"Proposed an ISO 10303-238 (AP-238) compliant architecture using Mastercam for programming, STEP-NC Machine for simulation, and execution on two retrofitted industrial robots via an open LinuxCNC controller.","Development of a robotics solution with open or proprietary control systems that can directly read and execute STEP-NC programs, and integrating part inspection data feedback for closed-loop manufacturing.","Highly Relevant. Demonstrates seamless integration of CAD/CAM and CNC using STEP-NC over the internet. Gap: Still relies on translating paths to G-code via LinuxCNC instead of direct STEP-NC execution at the controller level, and lacks closed-loop feedback mechanisms."
A hybrid predictive maintenance approach for CNC machine tool driven by Digital Twin,2020,"Weichao Luo, Tianliang Hu, Yingxin Ye, Chengrui Zhang, Yongli Wei","Traditional predictive maintenance methods fail to consider the status variety and consistency of CNC machine tools over their life cycle, leading to inaccurate and untimely fault predictions.",Proposed a Digital Twin (DT) model-based and data-driven hybrid approach. The framework merges physical mathematical models with real-time operational sensing data to conduct fault forecasts.,"Future implementation of DT models based on cloud and edge computing, as well as applying model migration learning based on DT.","Highly Relevant. Fits perfectly with the remote process monitoring and predictive maintenance pillars. Gap: Architecture focuses heavily on the twin, leaving an opening for a more lightweight, direct API-to-cloud predictive integration."
Machine Learning in Predictive Maintenance towards Sustainable Smart Manufacturing in Industry 4.0,2020,"Zeki Murat Çınar, Abubakar Abdussalam Nuhu, Qasim Zeeshan, Orhan Korhan, Mohammed Asmael, Babak Safaei","The difficulty of selecting appropriate ML techniques, data sizes, and equipment types for PdM applications causes time loss and infeasible maintenance scheduling.","Systematic literature review utilizing the PRISMA framework to categorize 126 articles by ML technique, equipment, device, and data type.",Offers guidelines and foundation for further research into specific ML algorithm selections based on structured taxonomy.,Contextual Overview. Maps out the entire landscape of PdM using ML up to 2020. Gap: Serves as a theoretical foundation rather than an architectural blueprint.
CAD-CAM Technology: A literature Review,2020,"Mohammed A. Abdulla, Hala Khuder Ali, Raghad S Jamel","Need to review the application, designing, and manufacturing via CAD/CAM in prosthodontics/dental restorations as it developed rapidly over the last two decades.","Literature review of the components of dental CAD/CAM systems including optical/mechanical scanning, 3D design software, and subtractive (3-axis to 5-axis milling) or additive manufacturing phases.",Further enhancement in intraoral scanning and materials for milled dental restorations.,Tangentially relevant. Highlights specific CAD/CAM CNC application (dentistry). Gap: Domain-specific to dentistry and lacks general mechanical engineering AI/ML integration.
Present and Future Impacts of Computer-Aided Design/ Computer-Aided Manufacturing (CAD/CAM),2022,"Peter P. Ikubanni, Adekunle A. Adeleke, Olayinka O. Agboola, Chiebuka T. Christopher, Boluwatife S. Ademola, Joseph Okonkwo, Olanrewaju S. Adesina, Peter O. Omoniyi, Esther T. Akinlabi","The need to examine the present impacts of CAD/CAM on sectors like architecture, manufacturing, and aerospace, as well as its future potential to ease production against traditional methods.","A comprehensive review examining current applications and exploring future trends including 3-D bioprinting, virtual reality, artificial intelligence, cloud technology, and the industrial internet of things (IIoT).","More research focus on biomaterials for 3-D bioprinting for tissue engineering applications, and generating numerous models from different laboratories.","Contextual Overview. Provides a broad understanding of CAD/CAM's future, including Cloud and IIoT integration. Gap: It is a broad literature review without a specific technical architecture or empirical implementation."
Optimizing Predictive Maintenance Strategies for CNC Machining Centers: A Comparative Analysis of Machine Learning Algorithms,2023,Dr. Gorakh Wakhare,"Assess the performance, robustness, and interpretability of ML models used in predictive maintenance, addressing challenges related to data interoperability and model interpretability.","Mixed-methods approach combining quantitative analysis of ML model performance (Random Forest, Gradient Boosting, Neural Network) and qualitative insights from operator surveys regarding Explainable AI.","Cross-industry collaboration, scalability planning, and deeper exploration of specific XAI techniques across diverse manufacturing environments.",Relevant. Addresses interpretability and robustness across operational conditions. Gap: Limited exploration of specific XAI techniques and contextual specificity to only CNC centers.
STEP-NC AP238 - an excellent paradigm for smart manufacturing,2023,"Deepanshu Srivastava, Venkateswara Rao Komma","G-M codes are low level and lack product geometry and process information, becoming a bottleneck for seamless integration of CAD/CAPP/CAM in Industry 4.0.",Review of STEP-NC standard (specifically ISO 10303-238 / AP238) which provides a rich set of information by using EXPRESS language for feature-based process planning.,"Utilizing STEP-NC AP238 for seamless integration of CAD/CAM and CNC, forming an intelligent manufacturing environment for Industry 4.0.",Highly Relevant. Explains why STEP-NC AP238 is superior to G-Code for automated manufacturing. Gap: A review paper rather than presenting an empirical framework or AI integration.
The breadth of Industry 4.0 technologies: factory level dynamic capabilities as antecedents and competitive advantage as outcome,2023,Hamed Nayernia,There is a lack of understanding regarding the capabilities needed to integrate and manage a breadth of Industry 4.0 technologies at the factory level and their impact on operational performance.,"Mixed-method approach combining a systematic literature review, semi-structured interviews, and a cross-sectional survey of 320 UK factories analyzed using structural equation modelling (SEM).","Explore the balance of open innovation, R&D, and long-term relational governance during 14.0 adoption, alongside human resource impacts.",High-level operational strategy context. Validates the need for design-manufacturing integration (CAD/CAM). Gap: Business/management focus rather than a mechanical engineering CAD/CNC API architecture.
Research on the Semantic Model of R&D and Design Resources of Group Enterprises,2023,"Lei WANG, Zhengang ZHAO, Nan ZHAO, LI Li, Yimin HUANG, Jiangtao Huang, Qingpeng Wang","R&D and design resources in group manufacturing enterprises are scattered, isolated, and have low sharing degree, hindering collaborative product innovation.",Established an R&D design resource information model using object-oriented and semantic knowledge concepts to describe cloud manufacturing software resources. Used TF-IDF for attribute extraction of enterprise software resource text.,Enhancing semantic attribute extraction efficiency from unstructured CAD resource texts to support cloud-based product innovation.,Relevant to the cloud-platform/database side of CAD resources. Gap: Focuses heavily on resource taxonomy and semantics rather than the mechanical automation of CAD-to-CNC workflows.
A review of automated cutting tool selection methods,2024,"Gowthri Navaneethan, Suresh Palanisamy, Prem Prakash Jayaraman, Yong-Bin Kang, Guy Stephens, Angelo Papageorgiou, John Navarro","Manual cutting tool selection is time-consuming, prone to errors, and requires expert knowledge, driving the need for automated CT selection in complex machining.","Comprehensive review of automated cutting tool selection methods, analyzing the inputs, outputs, and various AI techniques (like expert systems, machine learning, and genetic algorithms) used.","Developing comprehensive case management systems, automating data capturing for sustainability factors, and utilizing manufacturer configurations for custom tool selection.",Relevant to process automation. Emphasizes AI/ML for tool selection. Gap: Lacks a concrete unified architecture combining tool selection with direct CNC control and remote monitoring.
Predictive Maintenance of CNC Machines Using Integrated Risk Assessment and Deep Learning Forecasting,2024,Huseyin Ali Sarikaya,SMEs struggle to implement predictive maintenance due to a lack of digitization. A systematic method combining risk prioritization and deep learning forecasting is needed to reduce CNC downtime.,"Analyzed 2 years of CNC failure data. Applied Fine-Kinney risk assessment and TOPSIS to prioritize failures. Developed RNN, LSTM, and GRU models in Python to forecast time to next failure.",Integrating the dual-stage risk prioritization with real-time sensor streams and exploring Transformer-based models or Explainable AI (XAI) for enhanced prediction trust.,Highly Relevant. Combines maintenance risk assessment with LSTM/GRU forecasting for CNCs. Gap: Relies on historical failure logs rather than high-frequency real-time sensor data integration.
CAM as a Service with dynamic toolpath generation ability for process optimization in STEP-NC compliant CNC machining,2025,"Kaiyao Zhang, Wenlei Xiao, Xiangming Fan, Gang Zhao",Current calculation methods of toolpath lengths in process optimization lack flexibility. Toolpaths need to be generated automatically based on dynamic combinations of process parameters rather than fixed features.,Deployed CAM on the cloud using a STEP-NC edge-cloud collaborative system. Proposed a non-dominated sorting genetic algorithm III with CAM as a service (NSGAIII-CaaS) to automatically generate toolpaths interacting with parameter optimization.,Further research into applying various cloud service technologies and integrating real machining signals to achieve smarter optimization of milling parameters.,Highly Relevant. Addresses the exact bottleneck of web-based CAD/CAM architectures. Gap: The paper relies on CAM services that still require human experience for machining strategies; true automation via AI is missing.
Predictive Maintenance in CNC Machines Using Machine Learning,2025,"N. Arjun, Dr. Karthikeyan G, G.Haribabu, Vennila V, Sarfaraz Ahmed A, S.Arulraj","Existing PdM models suffer from high computing costs, lack of interpretability, and inflexibility in embedded CNC systems.","A unified hybrid PdM pipeline combining multimodal sensor data (vibration, temperature, acoustic) with Random Forest for classification and LSTM for RUL prediction, utilizing LIME for explainable AI.","Generalization to different machine configurations, adaptive transfer learning, federated learning approaches, and augmented reality interfaces.","State-of-the-art. Combines edge-computation, XAI, and multimodal data. Gap: Relies on a single CNC platform and does not fully model environmental noise variation."
An Industrial IoT Framework for Predictive Maintenance of CNC Lathe Spindles: Integrating Deep Learning and Cloud-Based Analytics,2025,"Nikhil M. Thoppil, V. Vasu",Existing predictive maintenance models are restricted to offline analysis or lack the integration needed for end-to-end real-time predictive maintenance in industrial settings.,"Developed an IIoT framework using an accelerated run-to-failure testbed for a CNC lathe spindle. Employed NCA for feature selection and trained LSTM and bi-LSTM models for RUL estimation, implemented on the ThingSpeak IoT platform.",Extending the modular architecture to various machine components and scaling across diverse industrial setups.,Highly Relevant. State-of-the-art implementation of cloud-based predictive maintenance for CNC using LSTM and IIoT. Gap: Narrowly focused on spindle vibration rather than full CAD-to-CNC workflow integration.
Predictive maintenance system for CNC machines,2025,"Sridevi S, R Ramya, Jayajevaa N, Nitin Sriram M, Deeksha S R, Jacob M","Traditional reactive and preventive maintenance approaches for CNC machines are inefficient, causing unexpected downtime and resource misallocation.","Developed ""Be Shield"", a preventive maintenance system integrating a sensor kit (Arduino, temperature, vibration, humidity) with Python-based Random Forest Machine Learning models for real-time anomaly detection.",Extending from classification models (likelihood of failure) to regression-based models (like Gradient Boosting) for precise Remaining Useful Life (RUL) estimation.,Highly Relevant. Provides a concrete lightweight architecture (Arduino + Python + ML) for CNC predictive maintenance. Gap: Focuses on basic ML (Random Forest) without deep learning sequence modeling.
Research on Predictive Maintenance of CNC Machine Tools Based on Deep Learning,2026,Jing Pu,"Traditional statistical and shallow machine learning models struggle to model long-term dependencies and require manual feature engineering, making it difficult to capture the complex, nonlinear degradation patterns of CNC machine tools.","Developed a hybrid deep learning framework integrating Convolutional Neural Networks (CNNs) for spatial feature extraction and Long Short-Term Memory (LSTM) networks to model temporal sequences, utilizing multi-sensor data fusion (vibration, acoustic emission, current, temperature).","Explore sophisticated data augmentation, semi-supervised learning, transfer learning, and methods for model interpretability (attention mechanisms/saliency maps).","Highly Relevant. Proposes a state-of-the-art CNN-LSTM framework for CNC predictive maintenance using multi-modal sensor fusion. Gap: Acknowledges a ""black-box"" nature lacking interpretability in safety-critical applications, which could be addressed through XAI techniques."
